username|trade_count|bank_name|location_string|trade_type|temp_price|source|coin|Timestamp
crpyto_ve|70+|BANESCO|Valencia 2001, Carabobo, Venezuela|ONLINE_BUY|100271569421.78|LocalBitcoin|bitcoin|2021-03-11 11:38:13.266596
Wolfdavid|30+|PROVINCIAL|Caracas, Capital District, Venezuela|ONLINE_BUY|96000000000.00|LocalBitcoin|bitcoin|2021-03-11 11:38:13.266596
germanmoreno17|17|BANESCO|Venezuela|ONLINE_BUY|89360000000.00|LocalBitcoin|bitcoin|2021-03-11 11:38:13.266596
mamablinka|30+|VENEZUELA|Merida, Mérida, Venezuela|ONLINE_BUY|99204850598.15|LocalBitcoin|bitcoin|2021-03-11 11:38:13.266596
Edirisg01|12|BOD|Venezuela|ONLINE_BUY|103100000000.00|LocalBitcoin|bitcoin|2021-03-11 11:38:13.266596
Edirisg01|12|BOD|Venezuela|ONLINE_BUY|103100000000.00|LocalBitcoin|bitcoin|2021-03-11 11:38:13.266596
Miguelrojas02|500+|MERCANTIL|Cumana, Sucre, Venezuela|ONLINE_BUY|101900000000.00|LocalBitcoin|bitcoin|2021-03-11 11:38:13.266596
Anelgomez|100+|MERCANTIL|Cumana, Sucre, Venezuela|ONLINE_BUY|101700000000.00|LocalBitcoin|bitcoin|2021-03-11 11:38:13.266596
lsh09080200|100+|BANESCO|Venezuela|ONLINE_BUY|101338288245.42|LocalBitcoin|bitcoin|2021-03-11 11:38:13.266596
lsh09080200|100+|VENEZUELA|Venezuela|ONLINE_BUY|101338288245.42|LocalBitcoin|bitcoin|2021-03-11 11:38:13.266596
lsh09080200|100+|VENEZUELA|Venezuela|ONLINE_BUY|101338288245.42|LocalBitcoin|bitcoin|2021-03-11 11:38:13.266596
lsh09080200|100+|BANCARIBE|Venezuela|ONLINE_BUY|100804928833.60|LocalBitcoin|bitcoin|2021-03-11 11:38:13.266596
linyawuzheng520|100+|BANESCO|Venezuela|ONLINE_BUY|100100000000.00|LocalBitcoin|bitcoin|2021-03-11 11:38:13.266596
Jhonglervivasm5|30+|BANESCO|Venezuela|ONLINE_BUY|99204850598.15|LocalBitcoin|bitcoin|2021-03-11 11:38:13.266596
Jhonglervivasm5|30+|BANESCO|Venezuela|ONLINE_BUY|99204850598.15|LocalBitcoin|bitcoin|2021-03-11 11:38:13.266596
Jhonglervivasm5|30+|BANESCO|Venezuela|ONLINE_BUY|98138131774.51|LocalBitcoin|bitcoin|2021-03-11 11:38:13.266596
franklinrsa|19|MERCANTIL|Venezuela|ONLINE_BUY|98138131774.51|LocalBitcoin|bitcoin|2021-03-11 11:38:13.266596
jennycampos|30+|VENEZUELA|Venezuela|ONLINE_BUY|98100000000.00|LocalBitcoin|bitcoin|2021-03-11 11:38:13.266596
chiquitabella|100+|PROVINCIAL|Caracas, Capital District, Venezuela|ONLINE_BUY|98100000000.00|LocalBitcoin|bitcoin|2021-03-11 11:38:13.266596
xfearless|8|VENEZUELA|Venezuela|ONLINE_BUY|94937975303.60|LocalBitcoin|bitcoin|2021-03-11 11:38:13.266596
Jhonglervivasm5|30+|BANESCO|Venezuela|ONLINE_BUY|94937975303.60|LocalBitcoin|bitcoin|2021-03-11 11:38:13.266596
bittybit42|12|BANESCO|Venezuela|ONLINE_BUY|89877713290.84|LocalBitcoin|bitcoin|2021-03-11 11:38:13.266596
