username|trade_count|bank_name|location_string|trade_type|temp_price|source|coin|Timestamp
lsh09080200|100+|BANCARIBE|Venezuela|ONLINE_BUY|101322145252.32|LocalBitcoin|bitcoin|2021-03-11 11:22:20.221053
linyawuzheng520|100+|BANESCO|Venezuela|ONLINE_BUY|100100000000.00|LocalBitcoin|bitcoin|2021-03-11 11:22:20.221053
Jhonglervivasm5|30+|BANESCO|Venezuela|ONLINE_BUY|99204850598.15|LocalBitcoin|bitcoin|2021-03-11 11:22:20.221053
Jhonglervivasm5|30+|BANESCO|Venezuela|ONLINE_BUY|99204850598.15|LocalBitcoin|bitcoin|2021-03-11 11:22:20.221053
Jhonglervivasm5|30+|BANESCO|Venezuela|ONLINE_BUY|98138131774.51|LocalBitcoin|bitcoin|2021-03-11 11:22:20.221053
franklinrsa|19|MERCANTIL|Venezuela|ONLINE_BUY|98138131774.51|LocalBitcoin|bitcoin|2021-03-11 11:22:20.221053
jennycampos|30+|VENEZUELA|Venezuela|ONLINE_BUY|98100000000.00|LocalBitcoin|bitcoin|2021-03-11 11:22:20.221053
chiquitabella|100+|PROVINCIAL|Caracas, Capital District, Venezuela|ONLINE_BUY|98100000000.00|LocalBitcoin|bitcoin|2021-03-11 11:22:20.221053
xfearless|8|VENEZUELA|Venezuela|ONLINE_BUY|94937975303.60|LocalBitcoin|bitcoin|2021-03-11 11:22:20.221053
Jhonglervivasm5|30+|BANESCO|Venezuela|ONLINE_BUY|94937975303.60|LocalBitcoin|bitcoin|2021-03-11 11:22:20.221053
bittybit42|12|BANESCO|Venezuela|ONLINE_BUY|91136321126.43|LocalBitcoin|bitcoin|2021-03-11 11:22:20.221053
cryptozuelans|500+|BOD|Caracas, Capital District, Venezuela|ONLINE_BUY|87919745086.67|LocalBitcoin|bitcoin|2021-03-11 11:22:20.221053
rogersdesantis|10|⚡Pago Móvil ⚡|Venezuela|ONLINE_BUY|78937192949.06|LocalBitcoin|bitcoin|2021-03-11 11:22:20.221053
asac2410|5|BOD|Maracaibo, Zulia, Venezuela|ONLINE_BUY|76000000000.00|LocalBitcoin|bitcoin|2021-03-11 11:22:20.221053
king_of_local|100+|VENEZUELA|Maracay, Aragua, Venezuela|ONLINE_BUY|46000000000.00|LocalBitcoin|bitcoin|2021-03-11 11:22:20.221053
HelenBauti|30+|BOD|Valle De La Pascua 2350, Guárico, Venezuela|ONLINE_BUY|38450000000.00|LocalBitcoin|bitcoin|2021-03-11 11:22:20.221053
ale24vv|10|BANESCO|Venezuela|ONLINE_BUY|103471725892.69|LocalBitcoin|bitcoin|2021-03-11 11:22:20.221053
GerardoSilva|0|PETRO|Valencia, Carabobo, Venezuela|ONLINE_BUY|106790324519.91|LocalBitcoin|bitcoin|2021-03-11 11:22:20.221053
aeroblue|0|MERCANTIL|Venezuela|ONLINE_BUY|103471725892.69|LocalBitcoin|bitcoin|2021-03-11 11:22:20.221053
cristianmantilla|2|BANESCO|Venezuela|ONLINE_BUY|100271569421.78|LocalBitcoin|bitcoin|2021-03-11 11:22:20.221053
prfranklin01|0|MERCANTIL|Valencia 2001, Carabobo, Venezuela|ONLINE_BUY|43800000000.00|LocalBitcoin|bitcoin|2021-03-11 11:22:20.221053
Luisacordero1|0|BANESCO|Venezuela|ONLINE_BUY|103466529278.83|LocalBitcoin|bitcoin|2021-03-11 11:22:20.221053
JhonyWhite|0|VENEZUELA|Caracas, Capital District, Venezuela|ONLINE_BUY|91136321126.43|LocalBitcoin|bitcoin|2021-03-11 11:22:20.221053
anderson21112529|0|BANESCO|Venezuela|ONLINE_BUY|80000000.00|LocalBitcoin|bitcoin|2021-03-11 11:22:20.221053
yumayuza|1000+|MERCANTIL|Valencia 2001, Carabobo, Venezuela|ONLINE_BUY|108314000000.00|LocalBitcoin|bitcoin|2021-03-11 11:22:20.221053
Josephnjeru|3000+||Venezuela|ONLINE_BUY|106093399711.30|LocalBitcoin|bitcoin|2021-03-11 11:22:20.221053
louraylin|1000+|VENEZUELA|Venezuela|ONLINE_BUY|105605163539.96|LocalBitcoin|bitcoin|2021-03-11 11:22:20.221053
gabostark1|10 000+|BOD|Venezuela|ONLINE_BUY|103000100000.00|LocalBitcoin|bitcoin|2021-03-11 11:22:20.221053
xxMOISESxx|15 000+|BANESCO|Venezuela|ONLINE_BUY|102465999999.00|LocalBitcoin|bitcoin|2021-03-11 11:22:20.221053
