username|trade_count|bank_name|location_string|trade_type|temp_price|source|coin|Timestamp
lsh09080200|100+|BANCARIBE|Venezuela|ONLINE_BUY|100804928833.60|LocalBitcoin|bitcoin|2021-03-11 11:26:20.792383
linyawuzheng520|100+|BANESCO|Venezuela|ONLINE_BUY|100100000000.00|LocalBitcoin|bitcoin|2021-03-11 11:26:20.792383
Jhonglervivasm5|30+|BANESCO|Venezuela|ONLINE_BUY|99204850598.15|LocalBitcoin|bitcoin|2021-03-11 11:26:20.792383
Jhonglervivasm5|30+|BANESCO|Venezuela|ONLINE_BUY|99204850598.15|LocalBitcoin|bitcoin|2021-03-11 11:26:20.792383
Jhonglervivasm5|30+|BANESCO|Venezuela|ONLINE_BUY|98138131774.51|LocalBitcoin|bitcoin|2021-03-11 11:26:20.792383
franklinrsa|19|MERCANTIL|Venezuela|ONLINE_BUY|98138131774.51|LocalBitcoin|bitcoin|2021-03-11 11:26:20.792383
jennycampos|30+|VENEZUELA|Venezuela|ONLINE_BUY|98100000000.00|LocalBitcoin|bitcoin|2021-03-11 11:26:20.792383
chiquitabella|100+|PROVINCIAL|Caracas, Capital District, Venezuela|ONLINE_BUY|98100000000.00|LocalBitcoin|bitcoin|2021-03-11 11:26:20.792383
xfearless|8|VENEZUELA|Venezuela|ONLINE_BUY|94937975303.60|LocalBitcoin|bitcoin|2021-03-11 11:26:20.792383
Jhonglervivasm5|30+|BANESCO|Venezuela|ONLINE_BUY|94937975303.60|LocalBitcoin|bitcoin|2021-03-11 11:26:20.792383
bittybit42|12|BANESCO|Venezuela|ONLINE_BUY|90671100009.06|LocalBitcoin|bitcoin|2021-03-11 11:26:20.792383
cryptozuelans|500+|BOD|Caracas, Capital District, Venezuela|ONLINE_BUY|87470943538.15|LocalBitcoin|bitcoin|2021-03-11 11:26:20.792383
rogersdesantis|10|⚡Pago Móvil ⚡|Venezuela|ONLINE_BUY|78937192949.06|LocalBitcoin|bitcoin|2021-03-11 11:26:20.792383
asac2410|5|BOD|Maracaibo, Zulia, Venezuela|ONLINE_BUY|76000000000.00|LocalBitcoin|bitcoin|2021-03-11 11:26:20.792383
king_of_local|100+|VENEZUELA|Maracay, Aragua, Venezuela|ONLINE_BUY|46000000000.00|LocalBitcoin|bitcoin|2021-03-11 11:26:20.792383
HelenBauti|30+|BOD|Valle De La Pascua 2350, Guárico, Venezuela|ONLINE_BUY|38450000000.00|LocalBitcoin|bitcoin|2021-03-11 11:26:20.792383
ale24vv|10|BANESCO|Venezuela|ONLINE_BUY|103471725892.69|LocalBitcoin|bitcoin|2021-03-11 11:26:20.792383
GerardoSilva|0|PETRO|Valencia, Carabobo, Venezuela|ONLINE_BUY|106245194834.14|LocalBitcoin|bitcoin|2021-03-11 11:26:20.792383
aeroblue|0|MERCANTIL|Venezuela|ONLINE_BUY|103471725892.69|LocalBitcoin|bitcoin|2021-03-11 11:26:20.792383
cristianmantilla|2|BANESCO|Venezuela|ONLINE_BUY|100271569421.78|LocalBitcoin|bitcoin|2021-03-11 11:26:20.792383
prfranklin01|0|MERCANTIL|Valencia 2001, Carabobo, Venezuela|ONLINE_BUY|43800000000.00|LocalBitcoin|bitcoin|2021-03-11 11:26:20.792383
Luisacordero1|0|BANESCO|Venezuela|ONLINE_BUY|102938366480.87|LocalBitcoin|bitcoin|2021-03-11 11:26:20.792383
JhonyWhite|0|VENEZUELA|Caracas, Capital District, Venezuela|ONLINE_BUY|90671100009.06|LocalBitcoin|bitcoin|2021-03-11 11:26:20.792383
anderson21112529|0|BANESCO|Venezuela|ONLINE_BUY|80000000.00|LocalBitcoin|bitcoin|2021-03-11 11:26:20.792383
yumayuza|1000+|MERCANTIL|Valencia 2001, Carabobo, Venezuela|ONLINE_BUY|108314000000.00|LocalBitcoin|bitcoin|2021-03-11 11:26:20.792383
louraylin|1000+|VENEZUELA|Venezuela|ONLINE_BUY|105605163539.96|LocalBitcoin|bitcoin|2021-03-11 11:26:20.792383
Josephnjeru|3000+||Venezuela|ONLINE_BUY|105551827598.78|LocalBitcoin|bitcoin|2021-03-11 11:26:20.792383
gabostark1|10 000+|BOD|Venezuela|ONLINE_BUY|103000100000.00|LocalBitcoin|bitcoin|2021-03-11 11:26:20.792383
BtcGoldMaster|10 000+|BANESCO|Venezuela|ONLINE_BUY|102500000000.00|LocalBitcoin|bitcoin|2021-03-11 11:26:20.792383
xxMOISESxx|15 000+|BANESCO|Venezuela|ONLINE_BUY|102465999999.00|LocalBitcoin|bitcoin|2021-03-11 11:26:20.792383
quan28ve|20 000+|BANESCO|Venezuela|ONLINE_BUY|102400000000.00|LocalBitcoin|bitcoin|2021-03-11 11:26:20.792383
BtcGoldMaster|10 000+|BANESCO|Venezuela|ONLINE_BUY|102400000000.00|LocalBitcoin|bitcoin|2021-03-11 11:26:20.792383
chaohong|3000+|BANESCO|Venezuela|ONLINE_BUY|102000555999.00|LocalBitcoin|bitcoin|2021-03-11 11:26:20.792383
lijianchang|15 000+|BANESCO|Venezuela|ONLINE_BUY|102000001000.00|LocalBitcoin|bitcoin|2021-03-11 11:26:20.792383
fengkevin|15 000+|VENEZUELA|Venezuela|ONLINE_BUY|102000000000.00|LocalBitcoin|bitcoin|2021-03-11 11:26:20.792383
edu0406|3000+|MERCANTIL|Venezuela|ONLINE_BUY|102000000000.00|LocalBitcoin|bitcoin|2021-03-11 11:26:20.792383
ROYLEE12|3000+|PROVINCIAL|Venezuela|ONLINE_BUY|102000000000.00|LocalBitcoin|bitcoin|2021-03-11 11:26:20.792383
Mantang|20 000+|PROVINCIAL|Venezuela|ONLINE_BUY|101951000999.00|LocalBitcoin|bitcoin|2021-03-11 11:26:20.792383
Mantang|20 000+|BANESCO|Venezuela|ONLINE_BUY|101911588999.00|LocalBitcoin|bitcoin|2021-03-11 11:26:20.792383
btcmok88|40 000+|PROVINCIAL|Venezuela|ONLINE_BUY|101900000999.99|LocalBitcoin|bitcoin|2021-03-11 11:26:20.792383
FraymarNoguera|15 000+|MERCANTIL|Caracas, Capital District, Venezuela|ONLINE_BUY|101900000000.00|LocalBitcoin|bitcoin|2021-03-11 11:26:20.792383
Jesusnd|1000+|PROVINCIAL|Venezuela|ONLINE_BUY|101900000000.00|LocalBitcoin|bitcoin|2021-03-11 11:26:20.792383
mariolfp24|1000+|MERCANTIL|Venezuela|ONLINE_BUY|101871647657.24|LocalBitcoin|bitcoin|2021-03-11 11:26:20.792383
mariolfp24|1000+|VENEZUELA|Venezuela|ONLINE_BUY|101871647657.24|LocalBitcoin|bitcoin|2021-03-11 11:26:20.792383
btcmok88|40 000+|VENEZUELA|Venezuela|ONLINE_BUY|101850000999.99|LocalBitcoin|bitcoin|2021-03-11 11:26:20.792383
my24|15 000+|PROVINCIAL|Venezuela|ONLINE_BUY|101850000000.00|LocalBitcoin|bitcoin|2021-03-11 11:26:20.792383
my24|15 000+|VENEZUELA|Venezuela|ONLINE_BUY|101850000000.00|LocalBitcoin|bitcoin|2021-03-11 11:26:20.792383
josenoguera|20 000+|PROVINCIAL|Caracas, Capital District, Venezuela|ONLINE_BUY|101849000000.00|LocalBitcoin|bitcoin|2021-03-11 11:26:20.792383
yulver|10 000+|VENEZUELA|Venezuela|ONLINE_BUY|101825000000.00|LocalBitcoin|bitcoin|2021-03-11 11:26:20.792383
cenwuhaoye|40 000+|BANESCO|Venezuela|ONLINE_BUY|101816000000.00|LocalBitcoin|bitcoin|2021-03-11 11:26:20.792383
Mantang|20 000+|BANESCO|Venezuela|ONLINE_BUY|101811366999.00|LocalBitcoin|bitcoin|2021-03-11 11:26:20.792383
Yannel2008|20 000+|BANESCO|Venezuela|ONLINE_BUY|101810000000.00|LocalBitcoin|bitcoin|2021-03-11 11:26:20.792383
atimuziotti|30 000+|BANESCO|Venezuela|ONLINE_BUY|101809000000.00|LocalBitcoin|bitcoin|2021-03-11 11:26:20.792383
lijianchang|15 000+|PROVINCIAL|Venezuela|ONLINE_BUY|101800001000.00|LocalBitcoin|bitcoin|2021-03-11 11:26:20.792383
panchofranco1|50 000+|MERCANTIL|Coro 4101, Falcón, Venezuela|ONLINE_BUY|101800000500.00|LocalBitcoin|bitcoin|2021-03-11 11:26:20.792383
fhc1011|1000+|BANESCO|Venezuela|ONLINE_BUY|101800000000.00|LocalBitcoin|bitcoin|2021-03-11 11:26:20.792383
Jesusnd|1000+|MERCANTIL|Venezuela|ONLINE_BUY|101800000000.00|LocalBitcoin|bitcoin|2021-03-11 11:26:20.792383
Mantang|20 000+|PROVINCIAL|Venezuela|ONLINE_BUY|101711588999.00|LocalBitcoin|bitcoin|2021-03-11 11:26:20.792383
sensan1|1000+|VENEZUELA|Guayana City, Bolívar, Venezuela|ONLINE_BUY|101710000000.00|LocalBitcoin|bitcoin|2021-03-11 11:26:20.792383
pejagobla|40 000+|BANESCO|Venezuela|ONLINE_BUY|101708000000.00|LocalBitcoin|bitcoin|2021-03-11 11:26:20.792383
Angel1288|20 000+|BOD|Carabobo, Venezuela|ONLINE_BUY|101706495468.19|LocalBitcoin|bitcoin|2021-03-11 11:26:20.792383
chaohong|3000+|BANESCO|Venezuela|ONLINE_BUY|101705555999.00|LocalBitcoin|bitcoin|2021-03-11 11:26:20.792383
sensan1|1000+|VENEZUELA|Caracas, Capital District, Venezuela|ONLINE_BUY|101701000000.00|LocalBitcoin|bitcoin|2021-03-11 11:26:20.792383
marialeist|20 000+|BANESCO|Venezuela|ONLINE_BUY|101700000000.00|LocalBitcoin|bitcoin|2021-03-11 11:26:20.792383
davidzerpav|3000+|MERCANTIL|Lecheria, Anzoategui, Venezuela|ONLINE_BUY|101700000000.00|LocalBitcoin|bitcoin|2021-03-11 11:26:20.792383
kennypual|3000+|BANESCO|Venezuela|ONLINE_BUY|101690000000.00|LocalBitcoin|bitcoin|2021-03-11 11:26:20.792383
Anderduranv|10 000+|BANESCO|Venezuela|ONLINE_BUY|101675000000.00|LocalBitcoin|bitcoin|2021-03-11 11:26:20.792383
CRECELCA|3000+|VENEZUELA|Venezuela|ONLINE_BUY|101650000000.00|LocalBitcoin|bitcoin|2021-03-11 11:26:20.792383
Mantang|20 000+|BANESCO|Venezuela|ONLINE_BUY|101611500999.00|LocalBitcoin|bitcoin|2021-03-11 11:26:20.792383
slaiseca|3000+|MERCANTIL|Venezuela|ONLINE_BUY|101606192000.00|LocalBitcoin|bitcoin|2021-03-11 11:26:20.792383
jeanthony6|15 000+|BOD|Venezuela|ONLINE_BUY|101605000999.00|LocalBitcoin|bitcoin|2021-03-11 11:26:20.792383
Pedronabi|3000+|BOD|Venezuela|ONLINE_BUY|101600000000.00|LocalBitcoin|bitcoin|2021-03-11 11:26:20.792383
Bujj|10 000+|BANESCO|Caracas, Capital District, Venezuela|ONLINE_BUY|101600000000.00|LocalBitcoin|bitcoin|2021-03-11 11:26:20.792383
celc91|10 000+|BANESCO|Venezuela|ONLINE_BUY|101529000000.00|LocalBitcoin|bitcoin|2021-03-11 11:26:20.792383
jompu|3000+|BANESCO|Caracas, Capital District, Venezuela|ONLINE_BUY|101515000000.00|LocalBitcoin|bitcoin|2021-03-11 11:26:20.792383
Mantang|20 000+|BANESCO|Venezuela|ONLINE_BUY|101511500999.00|LocalBitcoin|bitcoin|2021-03-11 11:26:20.792383
