username|trade_count|bank_name|location_string|trade_type|temp_price|source|coin|Timestamp
Edirisg01|12|BOD|Venezuela|ONLINE_BUY|102500000000.00|LocalBitcoin|bitcoin|2021-03-11 10:50:24.479364
Miguelrojas02|500+|MERCANTIL|Cumana, Sucre, Venezuela|ONLINE_BUY|101600000000.00|LocalBitcoin|bitcoin|2021-03-11 10:50:24.479364
Anelgomez|100+|MERCANTIL|Cumana, Sucre, Venezuela|ONLINE_BUY|101600000000.00|LocalBitcoin|bitcoin|2021-03-11 10:50:24.479364
lsh09080200|100+|BANESCO|Venezuela|ONLINE_BUY|101422224283.63|LocalBitcoin|bitcoin|2021-03-11 10:50:24.479364
lsh09080200|100+|VENEZUELA|Venezuela|ONLINE_BUY|101422224283.63|LocalBitcoin|bitcoin|2021-03-11 10:50:24.479364
lsh09080200|100+|BANCARIBE|Venezuela|ONLINE_BUY|100879977664.93|LocalBitcoin|bitcoin|2021-03-11 10:50:24.479364
linyawuzheng520|100+|BANESCO|Venezuela|ONLINE_BUY|100100000000.00|LocalBitcoin|bitcoin|2021-03-11 10:50:24.479364
Jhonglervivasm5|30+|BANESCO|Venezuela|ONLINE_BUY|99287019561.87|LocalBitcoin|bitcoin|2021-03-11 10:50:24.479364
Jhonglervivasm5|30+|BANESCO|Venezuela|ONLINE_BUY|99287019561.87|LocalBitcoin|bitcoin|2021-03-11 10:50:24.479364
Jhonglervivasm5|30+|BANESCO|Venezuela|ONLINE_BUY|98509385996.63|LocalBitcoin|bitcoin|2021-03-11 10:50:24.479364
franklinrsa|19|MERCANTIL|Venezuela|ONLINE_BUY|98509385996.63|LocalBitcoin|bitcoin|2021-03-11 10:50:24.479364
chiquitabella|100+|PROVINCIAL|Caracas, Capital District, Venezuela|ONLINE_BUY|98100000000.00|LocalBitcoin|bitcoin|2021-03-11 10:50:24.479364
jennycampos|30+|VENEZUELA|Venezuela|ONLINE_BUY|97500000000.00|LocalBitcoin|bitcoin|2021-03-11 10:50:24.479364
xfearless|8|VENEZUELA|Venezuela|ONLINE_BUY|95016610118.35|LocalBitcoin|bitcoin|2021-03-11 10:50:24.479364
Jhonglervivasm5|30+|BANESCO|Venezuela|ONLINE_BUY|95016610118.35|LocalBitcoin|bitcoin|2021-03-11 10:50:24.479364
bittybit42|12|BANESCO|Venezuela|ONLINE_BUY|90738604248.88|LocalBitcoin|bitcoin|2021-03-11 10:50:24.479364
cryptozuelans|500+|BOD|Caracas, Capital District, Venezuela|ONLINE_BUY|87801844040.48|LocalBitcoin|bitcoin|2021-03-11 10:50:24.479364
rogersdesantis|10|⚡Pago Móvil ⚡|Venezuela|ONLINE_BUY|79235810475.55|LocalBitcoin|bitcoin|2021-03-11 10:50:24.479364
asac2410|5|BOD|Maracaibo, Zulia, Venezuela|ONLINE_BUY|76000000000.00|LocalBitcoin|bitcoin|2021-03-11 10:50:24.479364
king_of_local|100+|VENEZUELA|Maracay, Aragua, Venezuela|ONLINE_BUY|46000000000.00|LocalBitcoin|bitcoin|2021-03-11 10:50:24.479364
HelenBauti|30+|BOD|Valle De La Pascua 2350, Guárico, Venezuela|ONLINE_BUY|38450000000.00|LocalBitcoin|bitcoin|2021-03-11 10:50:24.479364
GerardoSilva|0|PETRO|Valencia, Carabobo, Venezuela|ONLINE_BUY|106647117883.31|LocalBitcoin|bitcoin|2021-03-11 10:50:24.479364
aeroblue|0|MERCANTIL|Venezuela|ONLINE_BUY|103557429005.39|LocalBitcoin|bitcoin|2021-03-11 10:50:24.479364
cristianmantilla|2|BANESCO|Venezuela|ONLINE_BUY|100354621922.75|LocalBitcoin|bitcoin|2021-03-11 10:50:24.479364
prfranklin01|0|MERCANTIL|Valencia 2001, Carabobo, Venezuela|ONLINE_BUY|43800000000.00|LocalBitcoin|bitcoin|2021-03-11 10:50:24.479364
Luisacordero1|0|BANESCO|Venezuela|ONLINE_BUY|103327779876.90|LocalBitcoin|bitcoin|2021-03-11 10:50:24.479364
JhonyWhite|0|VENEZUELA|Caracas, Capital District, Venezuela|ONLINE_BUY|91014106627.33|LocalBitcoin|bitcoin|2021-03-11 10:50:24.479364
anderson21112529|0|BANESCO|Venezuela|ONLINE_BUY|80000000.00|LocalBitcoin|bitcoin|2021-03-11 10:50:24.479364
