username|trade_count|bank_name|location_string|trade_type|temp_price|source|coin|Timestamp
Jhonglervivasm5|30+|BANESCO|Venezuela|ONLINE_BUY|99713857232.45|LocalBitcoin|bitcoin|2021-03-11 11:18:27.957338
Jhonglervivasm5|30+|BANESCO|Venezuela|ONLINE_BUY|99713857232.45|LocalBitcoin|bitcoin|2021-03-11 11:18:27.957338
Jhonglervivasm5|30+|BANESCO|Venezuela|ONLINE_BUY|98641665219.19|LocalBitcoin|bitcoin|2021-03-11 11:18:27.957338
franklinrsa|19|MERCANTIL|Venezuela|ONLINE_BUY|98641665219.19|LocalBitcoin|bitcoin|2021-03-11 11:18:27.957338
jennycampos|30+|VENEZUELA|Venezuela|ONLINE_BUY|98100000000.00|LocalBitcoin|bitcoin|2021-03-11 11:18:27.957338
chiquitabella|100+|PROVINCIAL|Caracas, Capital District, Venezuela|ONLINE_BUY|98100000000.00|LocalBitcoin|bitcoin|2021-03-11 11:18:27.957338
xfearless|8|VENEZUELA|Venezuela|ONLINE_BUY|95425089179.44|LocalBitcoin|bitcoin|2021-03-11 11:18:27.957338
Jhonglervivasm5|30+|BANESCO|Venezuela|ONLINE_BUY|95425089179.44|LocalBitcoin|bitcoin|2021-03-11 11:18:27.957338
bittybit42|12|BANESCO|Venezuela|ONLINE_BUY|91136321126.43|LocalBitcoin|bitcoin|2021-03-11 11:18:27.957338
cryptozuelans|500+|BOD|Caracas, Capital District, Venezuela|ONLINE_BUY|87919745086.67|LocalBitcoin|bitcoin|2021-03-11 11:18:27.957338
rogersdesantis|10|⚡Pago Móvil ⚡|Venezuela|ONLINE_BUY|78937192949.06|LocalBitcoin|bitcoin|2021-03-11 11:18:27.957338
asac2410|5|BOD|Maracaibo, Zulia, Venezuela|ONLINE_BUY|76000000000.00|LocalBitcoin|bitcoin|2021-03-11 11:18:27.957338
king_of_local|100+|VENEZUELA|Maracay, Aragua, Venezuela|ONLINE_BUY|46000000000.00|LocalBitcoin|bitcoin|2021-03-11 11:18:27.957338
HelenBauti|30+|BOD|Valle De La Pascua 2350, Guárico, Venezuela|ONLINE_BUY|38450000000.00|LocalBitcoin|bitcoin|2021-03-11 11:18:27.957338
ale24vv|10|BANESCO|Venezuela|ONLINE_BUY|104107107891.97|LocalBitcoin|bitcoin|2021-03-11 11:18:27.957338
GerardoSilva|0|PETRO|Valencia, Carabobo, Venezuela|ONLINE_BUY|106790324519.91|LocalBitcoin|bitcoin|2021-03-11 11:18:27.957338
aeroblue|0|MERCANTIL|Venezuela|ONLINE_BUY|104107107891.97|LocalBitcoin|bitcoin|2021-03-11 11:18:27.957338
oussamasaade|1|BANESCO|Venezuela|ONLINE_BUY|101981345768.00|LocalBitcoin|bitcoin|2021-03-11 11:18:27.957338
cristianmantilla|2|BANESCO|Venezuela|ONLINE_BUY|100271569421.78|LocalBitcoin|bitcoin|2021-03-11 11:18:27.957338
