username|trade_count|bank_name|location_string|trade_type|temp_price|source|coin|Timestamp
franklinrsa|19|MERCANTIL|Venezuela|ONLINE_BUY|98138131774.51|LocalBitcoin|bitcoin|2021-03-11 11:30:21.008103
jennycampos|30+|VENEZUELA|Venezuela|ONLINE_BUY|98100000000.00|LocalBitcoin|bitcoin|2021-03-11 11:30:21.008103
chiquitabella|100+|PROVINCIAL|Caracas, Capital District, Venezuela|ONLINE_BUY|98100000000.00|LocalBitcoin|bitcoin|2021-03-11 11:30:21.008103
xfearless|8|VENEZUELA|Venezuela|ONLINE_BUY|94937975303.60|LocalBitcoin|bitcoin|2021-03-11 11:30:21.008103
Jhonglervivasm5|30+|BANESCO|Venezuela|ONLINE_BUY|94937975303.60|LocalBitcoin|bitcoin|2021-03-11 11:30:21.008103
bittybit42|12|BANESCO|Venezuela|ONLINE_BUY|90671100009.06|LocalBitcoin|bitcoin|2021-03-11 11:30:21.008103
cryptozuelans|500+|BOD|Caracas, Capital District, Venezuela|ONLINE_BUY|87470943538.15|LocalBitcoin|bitcoin|2021-03-11 11:30:21.008103
rogersdesantis|10|⚡Pago Móvil ⚡|Venezuela|ONLINE_BUY|78937192949.06|LocalBitcoin|bitcoin|2021-03-11 11:30:21.008103
asac2410|5|BOD|Maracaibo, Zulia, Venezuela|ONLINE_BUY|76000000000.00|LocalBitcoin|bitcoin|2021-03-11 11:30:21.008103
king_of_local|100+|VENEZUELA|Maracay, Aragua, Venezuela|ONLINE_BUY|46000000000.00|LocalBitcoin|bitcoin|2021-03-11 11:30:21.008103
HelenBauti|30+|BOD|Valle De La Pascua 2350, Guárico, Venezuela|ONLINE_BUY|38450000000.00|LocalBitcoin|bitcoin|2021-03-11 11:30:21.008103
ale24vv|10|BANESCO|Venezuela|ONLINE_BUY|103471725892.69|LocalBitcoin|bitcoin|2021-03-11 11:30:21.008103
GerardoSilva|0|PETRO|Valencia, Carabobo, Venezuela|ONLINE_BUY|106245194834.14|LocalBitcoin|bitcoin|2021-03-11 11:30:21.008103
oussamasaade|1|BANESCO|Venezuela|ONLINE_BUY|104981345768.00|LocalBitcoin|bitcoin|2021-03-11 11:30:21.008103
aeroblue|0|MERCANTIL|Venezuela|ONLINE_BUY|103471725892.69|LocalBitcoin|bitcoin|2021-03-11 11:30:21.008103
cristianmantilla|2|BANESCO|Venezuela|ONLINE_BUY|100271569421.78|LocalBitcoin|bitcoin|2021-03-11 11:30:21.008103
prfranklin01|0|MERCANTIL|Valencia 2001, Carabobo, Venezuela|ONLINE_BUY|43800000000.00|LocalBitcoin|bitcoin|2021-03-11 11:30:21.008103
Luisacordero1|0|BANESCO|Venezuela|ONLINE_BUY|102938366480.87|LocalBitcoin|bitcoin|2021-03-11 11:30:21.008103
JhonyWhite|0|VENEZUELA|Caracas, Capital District, Venezuela|ONLINE_BUY|90671100009.06|LocalBitcoin|bitcoin|2021-03-11 11:30:21.008103
anderson21112529|0|BANESCO|Venezuela|ONLINE_BUY|80000000.00|LocalBitcoin|bitcoin|2021-03-11 11:30:21.008103
yumayuza|1000+|MERCANTIL|Valencia 2001, Carabobo, Venezuela|ONLINE_BUY|108314000000.00|LocalBitcoin|bitcoin|2021-03-11 11:30:21.008103
louraylin|1000+|VENEZUELA|Venezuela|ONLINE_BUY|105605163539.96|LocalBitcoin|bitcoin|2021-03-11 11:30:21.008103
Josephnjeru|3000+||Venezuela|ONLINE_BUY|105551827598.78|LocalBitcoin|bitcoin|2021-03-11 11:30:21.008103
gabostark1|10 000+|BOD|Venezuela|ONLINE_BUY|103000100000.00|LocalBitcoin|bitcoin|2021-03-11 11:30:21.008103
kevinpardog|500+|BANESCO|Barquisimeto 3001, Lara, Venezuela|ONLINE_BUY|103000000000.00|LocalBitcoin|bitcoin|2021-03-11 11:30:21.008103
btcmok88|40 000+|BANESCO|Venezuela|ONLINE_BUY|102500000999.99|LocalBitcoin|bitcoin|2021-03-11 11:30:21.008103
BtcGoldMaster|10 000+|BANESCO|Venezuela|ONLINE_BUY|102500000000.00|LocalBitcoin|bitcoin|2021-03-11 11:30:21.008103
xxMOISESxx|15 000+|BANESCO|Venezuela|ONLINE_BUY|102465999999.00|LocalBitcoin|bitcoin|2021-03-11 11:30:21.008103
quan28ve|20 000+|BANESCO|Venezuela|ONLINE_BUY|102400000000.00|LocalBitcoin|bitcoin|2021-03-11 11:30:21.008103
BtcGoldMaster|10 000+|BANESCO|Venezuela|ONLINE_BUY|102400000000.00|LocalBitcoin|bitcoin|2021-03-11 11:30:21.008103
Mantang|20 000+|PROVINCIAL|Venezuela|ONLINE_BUY|102111000999.00|LocalBitcoin|bitcoin|2021-03-11 11:30:21.008103
btcmok88|40 000+|VENEZUELA|Venezuela|ONLINE_BUY|102100000999.99|LocalBitcoin|bitcoin|2021-03-11 11:30:21.008103
