username|trade_count|bank_name|location_string|trade_type|temp_price|source|coin|Timestamp
jennycampos|30+|VENEZUELA|Venezuela|ONLINE_BUY|98100000000.00|LocalBitcoin|bitcoin|2021-03-11 11:08:23.657089
chiquitabella|100+|PROVINCIAL|Caracas, Capital District, Venezuela|ONLINE_BUY|98100000000.00|LocalBitcoin|bitcoin|2021-03-11 11:08:23.657089
Jhonglervivasm5|30+|BANESCO|Venezuela|ONLINE_BUY|95016610118.35|LocalBitcoin|bitcoin|2021-03-11 11:08:23.657089
xfearless|8|VENEZUELA|Venezuela|ONLINE_BUY|95008656213.53|LocalBitcoin|bitcoin|2021-03-11 11:08:23.657089
bittybit42|12|BANESCO|Venezuela|ONLINE_BUY|90738604248.88|LocalBitcoin|bitcoin|2021-03-11 11:08:23.657089
cryptozuelans|500+|BOD|Caracas, Capital District, Venezuela|ONLINE_BUY|87536065275.39|LocalBitcoin|bitcoin|2021-03-11 11:08:23.657089
rogersdesantis|10|⚡Pago Móvil ⚡|Venezuela|ONLINE_BUY|78995961346.08|LocalBitcoin|bitcoin|2021-03-11 11:08:23.657089
asac2410|5|BOD|Maracaibo, Zulia, Venezuela|ONLINE_BUY|76000000000.00|LocalBitcoin|bitcoin|2021-03-11 11:08:23.657089
king_of_local|100+|VENEZUELA|Maracay, Aragua, Venezuela|ONLINE_BUY|46000000000.00|LocalBitcoin|bitcoin|2021-03-11 11:08:23.657089
HelenBauti|30+|BOD|Valle De La Pascua 2350, Guárico, Venezuela|ONLINE_BUY|38450000000.00|LocalBitcoin|bitcoin|2021-03-11 11:08:23.657089
ale24vv|10|BANESCO|Venezuela|ONLINE_BUY|103701496375.84|LocalBitcoin|bitcoin|2021-03-11 11:08:23.657089
GerardoSilva|0|PETRO|Valencia, Carabobo, Venezuela|ONLINE_BUY|106324293919.86|LocalBitcoin|bitcoin|2021-03-11 11:08:23.657089
aeroblue|0|MERCANTIL|Venezuela|ONLINE_BUY|103701496375.84|LocalBitcoin|bitcoin|2021-03-11 11:08:23.657089
oussamasaade|1|BANESCO|Venezuela|ONLINE_BUY|101981345768.00|LocalBitcoin|bitcoin|2021-03-11 11:08:23.657089
cristianmantilla|2|BANESCO|Venezuela|ONLINE_BUY|100354621922.75|LocalBitcoin|bitcoin|2021-03-11 11:08:23.657089
prfranklin01|0|MERCANTIL|Valencia 2001, Carabobo, Venezuela|ONLINE_BUY|43800000000.00|LocalBitcoin|bitcoin|2021-03-11 11:08:23.657089
Luisacordero1|0|BANESCO|Venezuela|ONLINE_BUY|103015003647.26|LocalBitcoin|bitcoin|2021-03-11 11:08:23.657089
JhonyWhite|0|VENEZUELA|Caracas, Capital District, Venezuela|ONLINE_BUY|90738604248.88|LocalBitcoin|bitcoin|2021-03-11 11:08:23.657089
anderson21112529|0|BANESCO|Venezuela|ONLINE_BUY|80000000.00|LocalBitcoin|bitcoin|2021-03-11 11:08:23.657089
yumayuza|1000+|MERCANTIL|Valencia 2001, Carabobo, Venezuela|ONLINE_BUY|108314000000.00|LocalBitcoin|bitcoin|2021-03-11 11:08:23.657089
louraylin|1000+|VENEZUELA|Venezuela|ONLINE_BUY|105683786125.17|LocalBitcoin|bitcoin|2021-03-11 11:08:23.657089
Josephnjeru|3000+||Venezuela|ONLINE_BUY|105630410475.61|LocalBitcoin|bitcoin|2021-03-11 11:08:23.657089
gabostark1|10 000+|BOD|Venezuela|ONLINE_BUY|103000100000.00|LocalBitcoin|bitcoin|2021-03-11 11:08:23.657089
btcmok88|40 000+|BANESCO|Venezuela|ONLINE_BUY|102800000999.99|LocalBitcoin|bitcoin|2021-03-11 11:08:23.657089
lijianchang|15 000+|BANESCO|Venezuela|ONLINE_BUY|102800001000.00|LocalBitcoin|bitcoin|2021-03-11 11:08:23.657089
Bitcoins.casadecambio|3000+|BANESCO|Caracas, Capital District, Venezuela|ONLINE_BUY|102500000000.00|LocalBitcoin|bitcoin|2021-03-11 11:08:23.657089
Mantang|20 000+|PROVINCIAL|Venezuela|ONLINE_BUY|102411000999.00|LocalBitcoin|bitcoin|2021-03-11 11:08:23.657089
btcmok88|40 000+|PROVINCIAL|Venezuela|ONLINE_BUY|102400000999.99|LocalBitcoin|bitcoin|2021-03-11 11:08:23.657089
lijianchang|15 000+|PROVINCIAL|Venezuela|ONLINE_BUY|102400001000.00|LocalBitcoin|bitcoin|2021-03-11 11:08:23.657089
chaohong|3000+|BANESCO|Venezuela|ONLINE_BUY|102200555999.00|LocalBitcoin|bitcoin|2021-03-11 11:08:23.657089
btcmok88|40 000+|MERCANTIL|Venezuela|ONLINE_BUY|102200000999.99|LocalBitcoin|bitcoin|2021-03-11 11:08:23.657089
marialeist|20 000+|BANESCO|Venezuela|ONLINE_BUY|102200000000.00|LocalBitcoin|bitcoin|2021-03-11 11:08:23.657089
edu0406|3000+|MERCANTIL|Venezuela|ONLINE_BUY|102200000000.00|LocalBitcoin|bitcoin|2021-03-11 11:08:23.657089
Mantang|20 000+|BANESCO|Venezuela|ONLINE_BUY|101911588999.00|LocalBitcoin|bitcoin|2021-03-11 11:08:23.657089
yulver|10 000+|VENEZUELA|Venezuela|ONLINE_BUY|101825000000.00|LocalBitcoin|bitcoin|2021-03-11 11:08:23.657089
tiosimon|15 000+|BOD|Caracas, Capital District, Venezuela|ONLINE_BUY|101820000000.00|LocalBitcoin|bitcoin|2021-03-11 11:08:23.657089
Mantang|20 000+|BANESCO|Venezuela|ONLINE_BUY|101811366999.00|LocalBitcoin|bitcoin|2021-03-11 11:08:23.657089
kamasado|3000+|PROVINCIAL|Venezuela|ONLINE_BUY|101800091620.00|LocalBitcoin|bitcoin|2021-03-11 11:08:23.657089
btcmok88|40 000+|VENEZUELA|Venezuela|ONLINE_BUY|101800000999.99|LocalBitcoin|bitcoin|2021-03-11 11:08:23.657089
fhc1011|1000+|BANESCO|Venezuela|ONLINE_BUY|101800000000.00|LocalBitcoin|bitcoin|2021-03-11 11:08:23.657089
Jesusnd|1000+|PROVINCIAL|Venezuela|ONLINE_BUY|101800000000.00|LocalBitcoin|bitcoin|2021-03-11 11:08:23.657089
lijianchang|15 000+|VENEZUELA|Venezuela|ONLINE_BUY|101750001000.00|LocalBitcoin|bitcoin|2021-03-11 11:08:23.657089
Mantang|20 000+|PROVINCIAL|Venezuela|ONLINE_BUY|101711588999.00|LocalBitcoin|bitcoin|2021-03-11 11:08:23.657089
Yannel2008|20 000+|BANESCO|Venezuela|ONLINE_BUY|101710000000.00|LocalBitcoin|bitcoin|2021-03-11 11:08:23.657089
atimuziotti|30 000+|BANESCO|Venezuela|ONLINE_BUY|101709000000.00|LocalBitcoin|bitcoin|2021-03-11 11:08:23.657089
pejagobla|40 000+|BANESCO|Venezuela|ONLINE_BUY|101708000000.00|LocalBitcoin|bitcoin|2021-03-11 11:08:23.657089
chaohong|3000+|BANESCO|Venezuela|ONLINE_BUY|101705555999.00|LocalBitcoin|bitcoin|2021-03-11 11:08:23.657089
panchofranco1|50 000+|MERCANTIL|Coro 4101, Falcón, Venezuela|ONLINE_BUY|101700000500.00|LocalBitcoin|bitcoin|2021-03-11 11:08:23.657089
