username|trade_count|bank_name|location_string|trade_type|temp_price|source|coin|Timestamp
Edirisg01|12|BOD|Venezuela|ONLINE_BUY|102501000000.00|LocalBitcoin|bitcoin|2021-03-11 10:54:27.512265
Edirisg01|12|BOD|Venezuela|ONLINE_BUY|102500000000.00|LocalBitcoin|bitcoin|2021-03-11 10:54:27.512265
RonylNavarro|100+|MERCANTIL|Cumana, Sucre, Venezuela|ONLINE_BUY|101700000000.00|LocalBitcoin|bitcoin|2021-03-11 10:54:27.512265
Miguelrojas02|500+|MERCANTIL|Cumana, Sucre, Venezuela|ONLINE_BUY|101600000000.00|LocalBitcoin|bitcoin|2021-03-11 10:54:27.512265
Anelgomez|100+|MERCANTIL|Cumana, Sucre, Venezuela|ONLINE_BUY|101600000000.00|LocalBitcoin|bitcoin|2021-03-11 10:54:27.512265
lsh09080200|100+|BANESCO|Venezuela|ONLINE_BUY|101422224283.63|LocalBitcoin|bitcoin|2021-03-11 10:54:27.512265
lsh09080200|100+|VENEZUELA|Venezuela|ONLINE_BUY|101422224283.63|LocalBitcoin|bitcoin|2021-03-11 10:54:27.512265
lsh09080200|100+|VENEZUELA|Venezuela|ONLINE_BUY|101413734160.51|LocalBitcoin|bitcoin|2021-03-11 10:54:27.512265
lsh09080200|100+|BANCARIBE|Venezuela|ONLINE_BUY|100879977664.93|LocalBitcoin|bitcoin|2021-03-11 10:54:27.512265
linyawuzheng520|100+|BANESCO|Venezuela|ONLINE_BUY|100100000000.00|LocalBitcoin|bitcoin|2021-03-11 10:54:27.512265
Jhonglervivasm5|30+|BANESCO|Venezuela|ONLINE_BUY|99287019561.87|LocalBitcoin|bitcoin|2021-03-11 10:54:27.512265
Jhonglervivasm5|30+|BANESCO|Venezuela|ONLINE_BUY|99287019561.87|LocalBitcoin|bitcoin|2021-03-11 10:54:27.512265
Jhonglervivasm5|30+|BANESCO|Venezuela|ONLINE_BUY|98211195187.02|LocalBitcoin|bitcoin|2021-03-11 10:54:27.512265
franklinrsa|19|MERCANTIL|Venezuela|ONLINE_BUY|98211195187.02|LocalBitcoin|bitcoin|2021-03-11 10:54:27.512265
chiquitabella|100+|PROVINCIAL|Caracas, Capital District, Venezuela|ONLINE_BUY|98100000000.00|LocalBitcoin|bitcoin|2021-03-11 10:54:27.512265
jennycampos|30+|VENEZUELA|Venezuela|ONLINE_BUY|97500000000.00|LocalBitcoin|bitcoin|2021-03-11 10:54:27.512265
Jhonglervivasm5|30+|BANESCO|Venezuela|ONLINE_BUY|95016610118.35|LocalBitcoin|bitcoin|2021-03-11 10:54:27.512265
xfearless|8|VENEZUELA|Venezuela|ONLINE_BUY|95008656213.53|LocalBitcoin|bitcoin|2021-03-11 10:54:27.512265
bittybit42|12|BANESCO|Venezuela|ONLINE_BUY|90738604248.88|LocalBitcoin|bitcoin|2021-03-11 10:54:27.512265
cryptozuelans|500+|BOD|Caracas, Capital District, Venezuela|ONLINE_BUY|87536065275.39|LocalBitcoin|bitcoin|2021-03-11 10:54:27.512265
rogersdesantis|10|⚡Pago Móvil ⚡|Venezuela|ONLINE_BUY|78995961346.08|LocalBitcoin|bitcoin|2021-03-11 10:54:27.512265
asac2410|5|BOD|Maracaibo, Zulia, Venezuela|ONLINE_BUY|76000000000.00|LocalBitcoin|bitcoin|2021-03-11 10:54:27.512265
king_of_local|100+|VENEZUELA|Maracay, Aragua, Venezuela|ONLINE_BUY|46000000000.00|LocalBitcoin|bitcoin|2021-03-11 10:54:27.512265
HelenBauti|30+|BOD|Valle De La Pascua 2350, Guárico, Venezuela|ONLINE_BUY|38450000000.00|LocalBitcoin|bitcoin|2021-03-11 10:54:27.512265
GerardoSilva|0|PETRO|Valencia, Carabobo, Venezuela|ONLINE_BUY|106324293919.86|LocalBitcoin|bitcoin|2021-03-11 10:54:27.512265
aeroblue|0|MERCANTIL|Venezuela|ONLINE_BUY|103557429005.39|LocalBitcoin|bitcoin|2021-03-11 10:54:27.512265
cristianmantilla|2|BANESCO|Venezuela|ONLINE_BUY|100354621922.75|LocalBitcoin|bitcoin|2021-03-11 10:54:27.512265
prfranklin01|0|MERCANTIL|Valencia 2001, Carabobo, Venezuela|ONLINE_BUY|43800000000.00|LocalBitcoin|bitcoin|2021-03-11 10:54:27.512265
Luisacordero1|0|BANESCO|Venezuela|ONLINE_BUY|103015003647.26|LocalBitcoin|bitcoin|2021-03-11 10:54:27.512265
JhonyWhite|0|VENEZUELA|Caracas, Capital District, Venezuela|ONLINE_BUY|90738604248.88|LocalBitcoin|bitcoin|2021-03-11 10:54:27.512265
anderson21112529|0|BANESCO|Venezuela|ONLINE_BUY|80000000.00|LocalBitcoin|bitcoin|2021-03-11 10:54:27.512265
yumayuza|1000+|MERCANTIL|Valencia 2001, Carabobo, Venezuela|ONLINE_BUY|108314000000.00|LocalBitcoin|bitcoin|2021-03-11 10:54:27.512265
louraylin|1000+|VENEZUELA|Venezuela|ONLINE_BUY|105683786125.17|LocalBitcoin|bitcoin|2021-03-11 10:54:27.512265
Josephnjeru|3000+||Venezuela|ONLINE_BUY|105630410475.61|LocalBitcoin|bitcoin|2021-03-11 10:54:27.512265
gabostark1|10 000+|BOD|Venezuela|ONLINE_BUY|103000100000.00|LocalBitcoin|bitcoin|2021-03-11 10:54:27.512265
LuisBRivas|20 000+|BANESCO|Venezuela|ONLINE_BUY|102716120226.20|LocalBitcoin|bitcoin|2021-03-11 10:54:27.512265
lijianchang|15 000+|BANESCO|Venezuela|ONLINE_BUY|102650001000.00|LocalBitcoin|bitcoin|2021-03-11 10:54:27.512265
Jlzm07|1000+|BOD|Valencia, Carabobo, Venezuela|ONLINE_BUY|102459328805.25|LocalBitcoin|bitcoin|2021-03-11 10:54:27.512265
btcmok88|40 000+|MERCANTIL|Venezuela|ONLINE_BUY|102200000999.99|LocalBitcoin|bitcoin|2021-03-11 10:54:27.512265
marialeist|20 000+|BANESCO|Venezuela|ONLINE_BUY|102200000000.00|LocalBitcoin|bitcoin|2021-03-11 10:54:27.512265
edu0406|3000+|MERCANTIL|Venezuela|ONLINE_BUY|102200000000.00|LocalBitcoin|bitcoin|2021-03-11 10:54:27.512265
Bitcoins.casadecambio|3000+|BANESCO|Caracas, Capital District, Venezuela|ONLINE_BUY|102100000000.00|LocalBitcoin|bitcoin|2021-03-11 10:54:27.512265
Yannel2008|20 000+|BANESCO|Venezuela|ONLINE_BUY|102010000000.00|LocalBitcoin|bitcoin|2021-03-11 10:54:27.512265
lijianchang|15 000+|PROVINCIAL|Venezuela|ONLINE_BUY|102000001000.00|LocalBitcoin|bitcoin|2021-03-11 10:54:27.512265
hayfer|10 000+|MERCANTIL|Venezuela|ONLINE_BUY|102000000000.00|LocalBitcoin|bitcoin|2021-03-11 10:54:27.512265
