username|trade_count|bank_name|location_string|trade_type|temp_price|source|coin|Timestamp
lsh09080200|100+|BANCARIBE|Venezuela|ONLINE_BUY|100879977664.93|LocalBitcoin|bitcoin|2021-03-11 11:00:22.253555
linyawuzheng520|100+|BANESCO|Venezuela|ONLINE_BUY|100100000000.00|LocalBitcoin|bitcoin|2021-03-11 11:00:22.253555
Jhonglervivasm5|30+|BANESCO|Venezuela|ONLINE_BUY|99287019561.87|LocalBitcoin|bitcoin|2021-03-11 11:00:22.253555
Jhonglervivasm5|30+|BANESCO|Venezuela|ONLINE_BUY|99287019561.87|LocalBitcoin|bitcoin|2021-03-11 11:00:22.253555
Jhonglervivasm5|30+|BANESCO|Venezuela|ONLINE_BUY|98211195187.02|LocalBitcoin|bitcoin|2021-03-11 11:00:22.253555
franklinrsa|19|MERCANTIL|Venezuela|ONLINE_BUY|98211195187.02|LocalBitcoin|bitcoin|2021-03-11 11:00:22.253555
chiquitabella|100+|PROVINCIAL|Caracas, Capital District, Venezuela|ONLINE_BUY|98100000000.00|LocalBitcoin|bitcoin|2021-03-11 11:00:22.253555
jennycampos|30+|VENEZUELA|Venezuela|ONLINE_BUY|97500000000.00|LocalBitcoin|bitcoin|2021-03-11 11:00:22.253555
Jhonglervivasm5|30+|BANESCO|Venezuela|ONLINE_BUY|95016610118.35|LocalBitcoin|bitcoin|2021-03-11 11:00:22.253555
xfearless|8|VENEZUELA|Venezuela|ONLINE_BUY|95008656213.53|LocalBitcoin|bitcoin|2021-03-11 11:00:22.253555
bittybit42|12|BANESCO|Venezuela|ONLINE_BUY|90738604248.88|LocalBitcoin|bitcoin|2021-03-11 11:00:22.253555
cryptozuelans|500+|BOD|Caracas, Capital District, Venezuela|ONLINE_BUY|87536065275.39|LocalBitcoin|bitcoin|2021-03-11 11:00:22.253555
rogersdesantis|10|⚡Pago Móvil ⚡|Venezuela|ONLINE_BUY|78995961346.08|LocalBitcoin|bitcoin|2021-03-11 11:00:22.253555
asac2410|5|BOD|Maracaibo, Zulia, Venezuela|ONLINE_BUY|76000000000.00|LocalBitcoin|bitcoin|2021-03-11 11:00:22.253555
king_of_local|100+|VENEZUELA|Maracay, Aragua, Venezuela|ONLINE_BUY|46000000000.00|LocalBitcoin|bitcoin|2021-03-11 11:00:22.253555
HelenBauti|30+|BOD|Valle De La Pascua 2350, Guárico, Venezuela|ONLINE_BUY|38450000000.00|LocalBitcoin|bitcoin|2021-03-11 11:00:22.253555
ale24vv|10|BANESCO|Venezuela|ONLINE_BUY|103557429005.39|LocalBitcoin|bitcoin|2021-03-11 11:00:22.253555
GerardoSilva|0|PETRO|Valencia, Carabobo, Venezuela|ONLINE_BUY|106324293919.86|LocalBitcoin|bitcoin|2021-03-11 11:00:22.253555
aeroblue|0|MERCANTIL|Venezuela|ONLINE_BUY|103557429005.39|LocalBitcoin|bitcoin|2021-03-11 11:00:22.253555
cristianmantilla|2|BANESCO|Venezuela|ONLINE_BUY|100354621922.75|LocalBitcoin|bitcoin|2021-03-11 11:00:22.253555
prfranklin01|0|MERCANTIL|Valencia 2001, Carabobo, Venezuela|ONLINE_BUY|43800000000.00|LocalBitcoin|bitcoin|2021-03-11 11:00:22.253555
Luisacordero1|0|BANESCO|Venezuela|ONLINE_BUY|103015003647.26|LocalBitcoin|bitcoin|2021-03-11 11:00:22.253555
JhonyWhite|0|VENEZUELA|Caracas, Capital District, Venezuela|ONLINE_BUY|90738604248.88|LocalBitcoin|bitcoin|2021-03-11 11:00:22.253555
anderson21112529|0|BANESCO|Venezuela|ONLINE_BUY|80000000.00|LocalBitcoin|bitcoin|2021-03-11 11:00:22.253555
yumayuza|1000+|MERCANTIL|Valencia 2001, Carabobo, Venezuela|ONLINE_BUY|108314000000.00|LocalBitcoin|bitcoin|2021-03-11 11:00:22.253555
louraylin|1000+|VENEZUELA|Venezuela|ONLINE_BUY|105683786125.17|LocalBitcoin|bitcoin|2021-03-11 11:00:22.253555
Josephnjeru|3000+||Venezuela|ONLINE_BUY|105630410475.61|LocalBitcoin|bitcoin|2021-03-11 11:00:22.253555
gabostark1|10 000+|BOD|Venezuela|ONLINE_BUY|103000100000.00|LocalBitcoin|bitcoin|2021-03-11 11:00:22.253555
BtcGoldMaster|10 000+|BANESCO|Venezuela|ONLINE_BUY|102680000000.00|LocalBitcoin|bitcoin|2021-03-11 11:00:22.253555
rameznasser|1000+|BANESCO|Caracas, Capital District, Venezuela|ONLINE_BUY|102651000000.00|LocalBitcoin|bitcoin|2021-03-11 11:00:22.253555
lijianchang|15 000+|BANESCO|Venezuela|ONLINE_BUY|102650001000.00|LocalBitcoin|bitcoin|2021-03-11 11:00:22.253555
chaohong|3000+|BANESCO|Venezuela|ONLINE_BUY|102200555999.00|LocalBitcoin|bitcoin|2021-03-11 11:00:22.253555
btcmok88|40 000+|MERCANTIL|Venezuela|ONLINE_BUY|102200000999.99|LocalBitcoin|bitcoin|2021-03-11 11:00:22.253555
edu0406|3000+|MERCANTIL|Venezuela|ONLINE_BUY|102200000000.00|LocalBitcoin|bitcoin|2021-03-11 11:00:22.253555
Bitcoins.casadecambio|3000+|BANESCO|Caracas, Capital District, Venezuela|ONLINE_BUY|102100000000.00|LocalBitcoin|bitcoin|2021-03-11 11:00:22.253555
Mantang|20 000+|PROVINCIAL|Venezuela|ONLINE_BUY|102011000999.00|LocalBitcoin|bitcoin|2021-03-11 11:00:22.253555
lijianchang|15 000+|PROVINCIAL|Venezuela|ONLINE_BUY|102000001000.00|LocalBitcoin|bitcoin|2021-03-11 11:00:22.253555
hayfer|10 000+|MERCANTIL|Venezuela|ONLINE_BUY|102000000000.00|LocalBitcoin|bitcoin|2021-03-11 11:00:22.253555
Mantang|20 000+|BANESCO|Venezuela|ONLINE_BUY|101911588999.00|LocalBitcoin|bitcoin|2021-03-11 11:00:22.253555
Jlzm07|1000+|BOD|Valencia, Carabobo, Venezuela|ONLINE_BUY|101888513811.26|LocalBitcoin|bitcoin|2021-03-11 11:00:22.253555
Mantang|20 000+|BANESCO|Venezuela|ONLINE_BUY|101811366999.00|LocalBitcoin|bitcoin|2021-03-11 11:00:22.253555
kamasado|3000+|PROVINCIAL|Venezuela|ONLINE_BUY|101800091620.00|LocalBitcoin|bitcoin|2021-03-11 11:00:22.253555
Jesusnd|1000+|PROVINCIAL|Venezuela|ONLINE_BUY|101800000000.00|LocalBitcoin|bitcoin|2021-03-11 11:00:22.253555
BtcGoldMaster|10 000+|BANESCO|Venezuela|ONLINE_BUY|101780000000.00|LocalBitcoin|bitcoin|2021-03-11 11:00:22.253555
Mantang|20 000+|PROVINCIAL|Venezuela|ONLINE_BUY|101711588999.00|LocalBitcoin|bitcoin|2021-03-11 11:00:22.253555
atimuziotti|30 000+|BANESCO|Venezuela|ONLINE_BUY|101709000000.00|LocalBitcoin|bitcoin|2021-03-11 11:00:22.253555
