username|trade_count|bank_name|location_string|trade_type|temp_price|source|coin|Timestamp
franklinrsa|19|MERCANTIL|Venezuela|ONLINE_BUY|98211195187.02|LocalBitcoin|bitcoin|2021-03-11 11:04:18.434063
chiquitabella|100+|PROVINCIAL|Caracas, Capital District, Venezuela|ONLINE_BUY|98100000000.00|LocalBitcoin|bitcoin|2021-03-11 11:04:18.434063
jennycampos|30+|VENEZUELA|Venezuela|ONLINE_BUY|97500000000.00|LocalBitcoin|bitcoin|2021-03-11 11:04:18.434063
Jhonglervivasm5|30+|BANESCO|Venezuela|ONLINE_BUY|95016610118.35|LocalBitcoin|bitcoin|2021-03-11 11:04:18.434063
xfearless|8|VENEZUELA|Venezuela|ONLINE_BUY|95008656213.53|LocalBitcoin|bitcoin|2021-03-11 11:04:18.434063
bittybit42|12|BANESCO|Venezuela|ONLINE_BUY|90738604248.88|LocalBitcoin|bitcoin|2021-03-11 11:04:18.434063
cryptozuelans|500+|BOD|Caracas, Capital District, Venezuela|ONLINE_BUY|87536065275.39|LocalBitcoin|bitcoin|2021-03-11 11:04:18.434063
rogersdesantis|10|⚡Pago Móvil ⚡|Venezuela|ONLINE_BUY|78995961346.08|LocalBitcoin|bitcoin|2021-03-11 11:04:18.434063
asac2410|5|BOD|Maracaibo, Zulia, Venezuela|ONLINE_BUY|76000000000.00|LocalBitcoin|bitcoin|2021-03-11 11:04:18.434063
king_of_local|100+|VENEZUELA|Maracay, Aragua, Venezuela|ONLINE_BUY|46000000000.00|LocalBitcoin|bitcoin|2021-03-11 11:04:18.434063
HelenBauti|30+|BOD|Valle De La Pascua 2350, Guárico, Venezuela|ONLINE_BUY|38450000000.00|LocalBitcoin|bitcoin|2021-03-11 11:04:18.434063
ale24vv|10|BANESCO|Venezuela|ONLINE_BUY|103701496375.84|LocalBitcoin|bitcoin|2021-03-11 11:04:18.434063
GerardoSilva|0|PETRO|Valencia, Carabobo, Venezuela|ONLINE_BUY|106324293919.86|LocalBitcoin|bitcoin|2021-03-11 11:04:18.434063
aeroblue|0|MERCANTIL|Venezuela|ONLINE_BUY|103701496375.84|LocalBitcoin|bitcoin|2021-03-11 11:04:18.434063
oussamasaade|1|BANESCO|Venezuela|ONLINE_BUY|101981345768.00|LocalBitcoin|bitcoin|2021-03-11 11:04:18.434063
cristianmantilla|2|BANESCO|Venezuela|ONLINE_BUY|100354621922.75|LocalBitcoin|bitcoin|2021-03-11 11:04:18.434063
prfranklin01|0|MERCANTIL|Valencia 2001, Carabobo, Venezuela|ONLINE_BUY|43800000000.00|LocalBitcoin|bitcoin|2021-03-11 11:04:18.434063
Luisacordero1|0|BANESCO|Venezuela|ONLINE_BUY|103015003647.26|LocalBitcoin|bitcoin|2021-03-11 11:04:18.434063
JhonyWhite|0|VENEZUELA|Caracas, Capital District, Venezuela|ONLINE_BUY|90738604248.88|LocalBitcoin|bitcoin|2021-03-11 11:04:18.434063
anderson21112529|0|BANESCO|Venezuela|ONLINE_BUY|80000000.00|LocalBitcoin|bitcoin|2021-03-11 11:04:18.434063
